t_name,M_bar,S,MS
mRNA:RchiOBHmChr2g0152731,0.35087118929820693,-1.0,-0.35087118929820693
mRNA:RchiOBHmChr2g0158011,0.1184068934733477,-1.0,-0.1184068934733477
mRNA:RchiOBHmChr2g0160251,0.3928147000310084,1.0,0.3928147000310084
mRNA:RchiOBHmChr2g0160651,0.47438439553595285,-1.0,-0.47438439553595285
mRNA:RchiOBHmChr2g0167751,0.34311109949317325,-1.0,-0.34311109949317325
mRNA:RchiOBHmChr2g0170881,0.3687312629625705,-1.0,-0.3687312629625705
mRNA:RchiOBHmChr2g0174481,0.16185465832158763,-1.0,-0.16185465832158763
mRNA:RchiOBHmChr3g0449371,0.3042417179797286,-1.0,-0.3042417179797286
mRNA:RchiOBHmChr3g0449381,0.24726589421628087,-1.0,-0.24726589421628087
mRNA:RchiOBHmChr3g0449981,0.24680239359632672,1.0,0.24680239359632672
mRNA:RchiOBHmChr3g0452551,0.16318914779344162,-1.0,-0.16318914779344162
mRNA:RchiOBHmChr3g0453521,0.17896260744404893,-1.0,-0.17896260744404893
mRNA:RchiOBHmChr3g0453911,0.2637312848222987,1.0,0.2637312848222987
mRNA:RchiOBHmChr3g0457401,0.27413734103953596,-1.0,-0.27413734103953596
mRNA:RchiOBHmChr3g0457421,0.39365216715431023,-1.0,-0.39365216715431023
mRNA:RchiOBHmChr3g0459451,0.25140556292381655,-1.0,-0.25140556292381655
mRNA:RchiOBHmChr3g0459701,0.32401462405320086,-1.0,-0.32401462405320086
mRNA:RchiOBHmChr3g0460091,0.13769729660080232,-1.0,-0.13769729660080232
mRNA:RchiOBHmChr3g0465361,0.10039894844202986,-1.0,-0.10039894844202986
mRNA:RchiOBHmChr3g0467581,0.37011656210627414,-1.0,-0.37011656210627414
mRNA:RchiOBHmChr3g0470271,0.35140754511168953,-1.0,-0.35140754511168953
mRNA:RchiOBHmChr3g0472341,0.45551002442201327,-1.0,-0.45551002442201327
mRNA:RchiOBHmChr3g0474611,0.11098159166758276,-1.0,-0.11098159166758276
mRNA:RchiOBHmChr3g0476871,0.25818134614685434,-1.0,-0.25818134614685434
mRNA:RchiOBHmChr3g0478451,0.37841938071765346,-1.0,-0.37841938071765346
mRNA:RchiOBHmChr3g0481541,0.6032840949867543,-1.0,-0.6032840949867543
mRNA:RchiOBHmChr3g0482711,0.1204599642203856,-1.0,-0.1204599642203856
mRNA:RchiOBHmChr3g0486621,0.5086559242345101,1.0,0.5086559242345101
mRNA:RchiOBHmChr4g0384991,0.16690579101220432,-1.0,-0.16690579101220432
mRNA:RchiOBHmChr4g0391961,0.16918141532426392,1.0,0.16918141532426392
mRNA:RchiOBHmChr4g0392451,0.10221000538135869,-1.0,-0.10221000538135869
mRNA:RchiOBHmChr4g0392501,0.14608091597788483,-1.0,-0.14608091597788483
mRNA:RchiOBHmChr4g0395841,0.17407521323629552,1.0,0.17407521323629552
mRNA:RchiOBHmChr4g0403401,0.20821507207227985,1.0,0.20821507207227985
mRNA:RchiOBHmChr4g0405681,0.1668248714899766,1.0,0.1668248714899766
mRNA:RchiOBHmChr4g0405811,0.2178322744751329,1.0,0.2178322744751329
mRNA:RchiOBHmChr4g0406271,0.2943970898658641,1.0,0.2943970898658641
mRNA:RchiOBHmChr4g0408891,0.2658202897431606,-1.0,-0.2658202897431606
mRNA:RchiOBHmChr4g0410081,0.18033829233572268,1.0,0.18033829233572268
mRNA:RchiOBHmChr4g0410251,0.18555623248026482,1.0,0.18555623248026482
